tag,scenario,mode,vision_only,audio_backend,rep,rc,seconds,started_iso,out_path
mas-auction-visiononly-r4,audio_alarm_clock_01,mas-auction,True,auto,4,0,8.4,2026-08-18T16:45:10,results/run_audio_alarm_clock_01_mas-auction-visiononly-r4.json
mas-rules-r1,audio_alarm_clock_01,mas-rules,False,auto,1,0,44.8,2026-08-18T16:45:18,results/run_audio_alarm_clock_01_mas-rules-r1.json
mas-rules-r2,audio_alarm_clock_01,mas-rules,False,auto,2,0,46.3,2026-08-18T16:46:03,results/run_audio_alarm_clock_01_mas-rules-r2.json
mas-rules-r3,audio_alarm_clock_01,mas-rules,False,auto,3,0,45.9,2026-08-18T16:46:49,results/run_audio_alarm_clock_01_mas-rules-r3.json
mas-rules-r4,audio_alarm_clock_01,mas-rules,False,auto,4,0,44.5,2026-08-18T16:47:35,results/run_audio_alarm_clock_01_mas-rules-r4.json
mas-rules-visiononly-r1,audio_alarm_clock_01,mas-rules,True,auto,1,0,8.3,2026-08-18T16:48:20,results/run_audio_alarm_clock_01_mas-rules-visiononly-r1.json
mas-rules-visiononly-r2,audio_alarm_clock_01,mas-rules,True,auto,2,0,8.4,2026-08-18T16:48:28,results/run_audio_alarm_clock_01_mas-rules-visiononly-r2.json
mas-rules-visiononly-r3,audio_alarm_clock_01,mas-rules,True,auto,3,0,8.4,2026-08-18T16:48:36,results/run_audio_alarm_clock_01_mas-rules-visiononly-r3.json
mas-rules-visiononly-r4,audio_alarm_clock_01,mas-rules,True,auto,4,0,8.4,2026-08-18T16:48:45,results/run_audio_alarm_clock_01_mas-rules-visiononly-r4.json
mas-nocoord-r1,audio_alarm_clock_01,mas-nocoord,False,auto,1,0,44.9,2026-08-18T16:48:53,results/run_audio_alarm_clock_01_mas-nocoord-r1.json
mas-nocoord-r2,audio_alarm_clock_01,mas-nocoord,False,auto,2,0,45.4,2026-08-18T16:49:38,results/run_audio_alarm_clock_01_mas-nocoord-r2.json
mas-nocoord-r3,audio_alarm_clock_01,mas-nocoord,False,auto,3,0,44.7,2026-08-18T16:50:24,results/run_audio_alarm_clock_01_mas-nocoord-r3.json
mas-nocoord-r4,audio_alarm_clock_01,mas-nocoord,False,auto,4,0,44.4,2026-08-18T16:51:08,results/run_audio_alarm_clock_01_mas-nocoord-r4.json
mas-nocoord-visiononly-r1,audio_alarm_clock_01,mas-nocoord,True,auto,1,0,8.4,2026-08-18T16:51:53,results/run_audio_alarm_clock_01_mas-nocoord-visiononly-r1.json
mas-nocoord-visiononly-r2,audio_alarm_clock_01,mas-nocoord,True,auto,2,0,8.3,2026-08-18T16:52:01,results/run_audio_alarm_clock_01_mas-nocoord-visiononly-r2.json
mas-nocoord-visiononly-r3,audio_alarm_clock_01,mas-nocoord,True,auto,3,0,8.4,2026-08-18T16:52:09,results/run_audio_alarm_clock_01_mas-nocoord-visiononly-r3.json
mas-nocoord-visiononly-r4,audio_alarm_clock_01,mas-nocoord,True,auto,4,0,8.4,2026-08-18T16:52:18,results/run_audio_alarm_clock_01_mas-nocoord-visiononly-r4.json
centralized-r1,audio_alarm_clock_01,centralized,False,auto,1,0,27.6,2026-08-18T16:52:26,results/run_audio_alarm_clock_01_centralized-r1.json
centralized-r2,audio_alarm_clock_01,centralized,False,auto,2,0,27.8,2026-08-18T16:52:54,results/run_audio_alarm_clock_01_centralized-r2.json
